Description,Unnamed: 1,Label
 Arlington 8414 MC Conn,,Exclude
 Arlington 8415 MC Conn,,Exclude
 BDA,,Exclude
 Black 4/0 alum,,Wire
 Box Mounting Brackets For  4”,,Exclude
 Box Mounting Brackets For 8” ,,Exclude
 Building A Added Material,,Exclude
 C-2424-EC TYPE 1 END CAP,,Exclude
 CRESCENT CITY HS-E BRACHT,,Exclude
" Carlon 4"" sq. nail on J-box",,Exclude
 DEVICES,,Exclude
 Door holders and additional p,,Exclude
 Duct Seal ,,Exclude
 EMT COMP CONN 3/4,,Exclude
" Electrical Tape, Black, 3/",,Exclude
 Emergi-Lite-EMIU-720,,Exclude
 F2 TRIM  266,,Exclude
 FILLER PLT,,Exclude
" GARVIN GB-2123 2-1/2"" Deep 3-",,Exclude
 Galvanized tie wire,,Exclude
 Hydraulic Hammer 1 WEEK,,Exclude
 IPLD250-3 Multi-Tap Connector,,Exclude
 JSC Additional Labor,,Exclude
 KIC 43115BK Wall  Sconce 1Lt ,,Exclude
 Kidde  Carbon Monoxide Detect,,Exclude
 L TAPE5,,Exclude
 M2 EIIAAAAZACDZZZZ - Spectra,,Exclude
 MANLIFT,,Exclude
 MICK RADIO,,Exclude
 MONTLY DEC SCHOOL QQ,,Exclude
 NM-B - 14/2 Solid Copper Whi,,Wire
 NM-B - 14/2 Solid Copper Whit,,Wire
 Nema L5 30R  Amp 120volt ,,Exclude
 Noalox ,,Exclude
 Orange Electrical Tape,,Exclude
 Port-A-Potty with cleaning s,,Exclude
 Port-A-Potty with cleaning se,,Exclude
 QDP22150TM,,Exclude
 QO115PCAFI,,Exclude
 QO120GFI,,Exclude
 QO2125VH,,Exclude
 ROCKER SW SP 15A ILL WH,,Exclude
 ROUND WHITE CEILING PLATE,,Exclude
 Repull BDA wire in building 6,,Exclude
 Rolls of Black Tie Wire ,,Exclude
 SAT S12415 8 Watt LED A19; C,,Exclude
 SAT S39836 9.8 Watt; A19 LED,,Exclude
 SER 4657 ORL 955 KELLER(7/17),,Exclude
 SHOP TRUCK 218,,Exclude
 TOOL BOX,,Exclude
" TP432 4"" Square 2-1/8D Box 3/",,Exclude
 TRAVEL MEALS MICK,,Exclude
" Tape, Vinyl, Blue, 3/4"" x 66'",,Exclude
" Tape, Vinyl, Red, 3/4"" x 66'",,Exclude
" Tape, Vinyl, White, 3/4"" x 66",,Exclude
 UNIVERSAL905 TRUCK 246,,Exclude
 WD-40 Lube Spray ,,Exclude
 WG WPX-42W-MCTP,,Exclude
 WIR RFBADP RFBA DUPLEX DEVICE,,Exclude
 WO 3978-081,,Exclude
 additional modules for sprink,,Exclude
 black 10 stranded,,Wire
 power system study,,Exclude
" toggle bolts 1/4""x 3""",,Exclude
 ½” GRC Close Nipples ,,Exclude
 ½” PVC Plastic Bushings ,,Exclude
 ½” x 4’ x 8’ OSB,,Exclude
!!' black tie wraps,,Exclude
" 9900A 100kVA Maintenance Byp
 9900AEGIS 100kVA VRLA Batter",,Exclude
" Mitsubishi UPS99AE-EB0100KA
1""""CONDUIT-EMT""",,Exclude
"1""CONDUIT-PVC40",,Conduit
"1""CONNCOMPSTL-EMT",,Exclude
"1""COUPLINGCOMPSTL-EMT",,Exclude
"1-1/4""CONDUIT-EMT",,Conduit
"1-1/4""CONNCOMPSTL-EMT",,Exclude
"1100A 30kVA VRLA Battery Syst
1100A Communication ModuleUA",,Exclude
"2""CONDUIT-EMT",,Conduit
"2""CONNSSSTL-EMT",,Exclude
"2""COUPLINGSSSTL-EMT",,Exclude
"2-1/2""CONDUIT-EMT",,Conduit
"3""CONDUIT-EMT",,Conduit
"3""CONNFLEXDCSQUEEZESTRAIGHT",,Exclude
"3/4""ADAPTERMALE-PVC",,Exclude
"3/4""CONDUIT-PVC40",,Conduit
"3/4""CONDUIT-RMC-GALV",,Conduit
"3/4""CONNCOMPSTL-EMT",,Exclude
"3/4""COUPLING-PVC",,Exclude
"3/4""COUPLINGCOMPSTL-EMT",,Exclude
"4""SQBOXEXTRING3/4""KO",,Exclude
"411/16x21/8""SQBOX1""KO",,Exclude
"4x1-1/2""SQBOX1/2""KO",,Exclude
"4x2-1/8""SQBOX3/4""KO",,Exclude
A Unit Panel BRP30L200G,,Exclude
"ARC FLASH TRAINING-per ""GRAY",,Exclude
B Unit Panel BRP30L200G,,Exclude
"Blue Bangers 3/8"" Threaded W",,Exclude
Buried Electric Line Below U,,Exclude
C fixtures,,Exclude
"CREDIT .05% TAX ON PO 22013-
CREDIT .05% TAX ON PO 22013-0",,Exclude
Caution Caution Caution Barr,,Exclude
"DANGER Barricade Tape, 3"" x ",,Exclude
E fixtures,,Exclude
F Clip for cut in box,,Exclude
F Clips for cut in box,,Exclude
F-20 ALLOY WELDMETAL,,Exclude
L-03 fixtures,,Exclude
L-06 fixtures,,Exclude
L-07 fixtures,,Exclude
L-08 fixtures,,Exclude
Low-Voltage Stuff,,Exclude
"Maintenance Bypass Cabinet wi
PL"" Fixtures GBL-LVTS2-45-MVD",,Exclude
RIB TR50VA008,,Exclude
"STUDY-per ""GRAYBAR NATN21-57",,Exclude
"Single Input Jumper (cables)
X"" fixtures",,Exclude
electrician screw kit  (vari,,Exclude
# 1  AWG BROWN AL THWN or XXHW,,Wire
# 1  AWG GREEN AL THWN or XXHW,,Wire
# 1  AWG GREY AL THWN or XXHW.,,Wire
# 1  AWG ORANGE AL THWN or XXH,,Wire
# 1  AWG WHITE AL THWN or XXHW,,Wire
# 1  AWG YELLOW AL THWN or XXH,,Wire
# 1 AL,,Exclude
# 1 Alum Green XHHW,,Wire
# 1 GREEN Aluminum XHHW ,,Wire
# 1 Green Aluminum XHHW,,Wire
# 1 THHN BLACK,,Wire
"# 1 alum wire (3@110, 3@130, 3",,Wire
# 1 awg Aluminum XHHW ,,Wire
# 1 awg Aluminum XHHW  Black,,Wire
# 1 awg Aluminum xhhw,,Wire
# 1 awg GREEN  Aluminum XHHW,,Wire
# 1 awg GREEN Aluminum XHHW ,,Wire
# 1 awg XHHW  Aluminum,,Wire
# 1 awg XHHW  Aluminum GEEN,,Wire
# 1 awg XHHW Aluminum ,,Wire
# 1 awg XHHW GREEN Aluminum ,,Wire
# 1 awg XHHW GREEN copper,,Wire
# 1 awg Xhhw  Aluminum,,Wire
# 1 copper thhn,,Wire
# 1 cu thhn blue,,Wire
# 10  AWG CU THWN Black Provi,,Wire
# 10  AWG CU THWN Blue Provid,,Wire
# 10  AWG CU THWN Brown Provi,,Wire
# 10  AWG CU THWN Green Provid,,Wire
# 10  AWG CU THWN Green with ,,Wire
# 10  AWG CU THWN Grey Provid,,Wire
# 10  AWG CU THWN Grey with Y,,Wire
# 10  AWG CU THWN Grey with a,,Wire
# 10  AWG CU THWN Orange Prov,,Wire
# 10  AWG CU THWN Red Provide,,Wire
# 10  AWG CU THWN White Provi,,Wire
# 10  AWG CU THWN Yellow Prov,,Wire
# 10 Black copper solid ( 500 ,,Wire
# 10 Red copper solid ( 500 ft,,Wire
# 10 THHN BLACK STRANDED CU,,Wire
# 10 THHN GREEN STRANDED CU,,Wire
# 10 THHN RED STRANDED CU,,Wire
# 10 THHN WHITE STRANDED CU,,Wire
# 10 THHN solid Blue,,Wire
# 10 THHN solid black,,Wire
# 10 THHN solid white,,Wire
# 10 Thhn Black,,Wire
# 10 Thhn Brown,,Wire
# 10 Thhn Gray,,Wire
# 10 Thhn Orange,,Wire
# 10 Thhn Yellow,,Wire
# 10 Thhn green,,Wire
# 10 Thhn red,,Wire
# 10 Thhn white,,Wire
# 10 awg  THHN Solid Black ,,Wire
# 10 awg  THHN Solid Blue,,Wire
# 10 awg  THHN Solid Red ,,Wire
# 10 awg  THHN Solid White ,,Wire
# 10 awg BLK THHN STRANDED bla,,Wire
# 10 awg GRN THHN STRANDED gre,,Wire
# 10 awg RED THHN STRANDED red,,Wire
# 10 awg Solid Black  THHN ,,Wire
# 10 awg Solid Black THHN,,Wire
# 10 awg Solid Green   THHN,,Wire
# 10 awg Solid Green THHN ,,Wire
# 10 awg Solid Red  THHN,,Wire
# 10 awg THHN Black Solid ,,Wire
# 10 awg THHN Blue  Solid ,,Wire
# 10 awg THHN Red Solid ,,Wire
# 10 awg THHN Solid BLue,,Wire
# 10 awg THHN Solid Black,,Wire
# 10 awg THHN Solid Red,,Wire
# 10 awg THHN Solid White,,Wire
# 10 awg White solid with BLAC,,Wire
# 10 awg White solid with BLUE,,Wire
# 10 awg White solid with RED ,,Wire
# 10 black thhn cu solid     2,,Wire
# 10 green thhn cu solid    25,,Wire
# 10 thhn black solid,,Wire
# 10 thhn green solid,,Wire
# 10 thhn red solid,,Wire
# 10 thhn white solid,,Wire
# 12  AWG CU THWN Green Provi,,Wire
# 12  Thhn Brown,,Wire
# 12  Thhn Orange,,Wire
# 12  Thhn Yellow,,Wire
# 12 AWG STRANDED  black,,Wire
# 12 AWG STRANDED green,,Wire
# 12 AWG STRANDED purple,,Wire
# 12 AWG STRANDED white,,Wire
# 12 AWG THHN Solid Black ,,Wire
# 12 AWG THHN Solid Blue,,Wire
# 12 AWG THHN Solid Green,,Wire
# 12 AWG THHN Solid Red,,Wire
# 12 AWG THHN Solid White,,Wire
# 12 Gauge Cieling wire  ( 8' ,,Wire
# 12 THHN black stranded,,Wire
# 12 THHN green stranded,,Wire
# 12 THHN stranded Red,,Wire
# 12 THHN stranded black,,Wire
# 12 THHN stranded blue,,Wire
# 12 THHN stranded green,,Wire
# 12 THHN stranded white,,Wire
# 12 THHN white stranded,,Wire
# 12 Thhn Black,,Wire
# 12 Thhn green,,Wire
# 12 Thhn red,,Wire
# 12 Thhn white,,Wire
# 12 awg Black THHN Solid ,,Wire
# 12 awg Ceiling wire,,Wire
# 12 awg Green  THHN Solid ,,Wire
# 12 awg STRANDED  Brown ,,Wire
# 12 awg STRANDED  Green,,Wire
# 12 awg STRANDED  Grey  ,,Wire
# 12 awg STRANDED  Orange ,,Wire
# 12 awg STRANDED  yellow ,,Wire
# 12 awg Solid GREEN  ,,Wire
# 12 awg Solid Green  THHN,,Wire
# 12 awg Solid Green THHN Cop,,Wire
# 12 awg Solid THHN GREEN  ,,Wire
# 12 awg THHN Solid Black,,Wire
# 12 awg THHN Solid GREEN,,Wire
# 12 awg THHN Solid GREEN (250,,Wire
# 12 awg THHN Solid Green,,Wire
# 12 awg THHN Solid White,,Wire
# 12 awg THHN Solid green,,Wire
# 12 awg THHN Solid white,,Wire
# 12 awg White  THHN Solid ,,Wire
# 12 awg purple STRANDED ,,Wire
# 12 awg white  THHN Solid ,,Wire
# 12 black thhn stranded,,Wire
# 12 blue thhn stranded,,Wire
# 12 green thhn solid,,Wire
# 12 green thhn stranded,,Wire
# 12 red thhn stranded,,Wire
# 12 solid Blue,,Wire
# 12 thhn black solid,,Wire
# 12 thhn black solid (2500' r,,Wire
# 12 thhn blue thhn solid,,Wire
# 12 thhn cu green,,Wire
# 12 thhn green solid,,Wire
# 12 thhn green solid (2500' r,,Wire
# 12 thhn red solid,,Wire
# 12 thhn wht solid,,Wire
# 12 white thhn stranded,,Wire
# 14 THHN CU Grey,,Wire
# 14 awg  Solid Grey ,,Wire
# 14 awg  Solid Purple ,,Wire
# 14 stranded gray cu,,Wire
# 14 stranded purple cu,,Wire
# 14 stranded thhn  black,,Wire
# 16 THHN stranded Purple,,Wire
# 16 THHN stranded gray,,Wire
# 1awg GREEN Aluminum xhhw,,Wire
# 1wire ground lugs,,Exclude
# 2  AWG AL BLACK THWN or XXHW,,Wire
# 2  AWG AL BLUE THWN or XXHW.,,Wire
# 2  AWG AL BROWN THWN or XXHW,,Wire
# 2  AWG AL ORANGE THWN or XXH,,Wire
# 2  AWG AL RED THWN or XXHW. ,,Wire
# 2  AWG AL YELLOW THWN or XXH,,Wire
# 2  AWG CU THWN Green with y,,Wire
# 2 AWG CU THWN Green Provide ,,Wire
# 2 THHN BLACK,,Wire
# 2 THHN BLACK STRANDED CU,,Wire
# 2 THHN BLUE STRANDED CU,,Wire
# 2 THHN RED STRANDED CU,,Wire
# 2 THHN WHITE STRANDED CU,,Wire
# 2 awg Black xhhw Aluminum,,Wire
# 2 awg GREEN xhhw Aluminum,,Wire
# 2 awg THHN Copper Brown,,Wire
# 2 awg THHN Copper Orange,,Wire
# 2 awg THHN Copper White,,Wire
# 2 awg THHN Copper Yellow,,Wire
# 2 awg XHHW Aluminum  90 degr,,Wire
# 2 black thhn 90' cut alumini,,Wire
# 2 cu split bolts,,Exclude
# 2 cu thhn black (3 cuts at 1,,Wire
# 2 ser al 4conductor plus gro,,Exclude
# 2 thhn blue,,Wire
# 2 thhn red,,Wire
# 3 AWG CU THWN Green Provide ,,Wire
# 3 Rebar  X 10FT,,Exclude
# 3 THHN BLACK,,Wire
# 3 thhn Cu black,,Wire
# 3 thhn cu black,,Wire
# 3/0 THHN BLK,,Wire
# 3/0 THHN BLUE,,Wire
# 3/0 THHN RED,,Wire
# 4  4 WireMC CU,,Wire
# 4  AWG CU BROWN THWN or XXH,,Wire
# 4  AWG CU GREEN THWN or XXHW,,Wire
# 4  AWG CU GREY THWN or XXHW,,Wire
# 4  AWG CU ORANGE THWN or XX,,Wire
# 4  AWG CU YELLOW THWN or XX,,Wire
# 4 AL green xhhw,,Wire
# 4 Awg GREEN  Aluminum XHHW,,Wire
# 4 Awg GREEN aluminum xhhw ,,Wire
# 4 BARE SOILD,,Exclude
# 4 Bare Solid Copper,,Exclude
# 4 Bare copper Solid,,Exclude
# 4 Bare solid Copper ,,Exclude
# 4 GREEN,,Exclude
# 4 GREEN Aluminum XHHW ,,Wire
# 4 GREEN XHHW ALuminum Strand,,Wire
# 4 Mechanical Lugs,,Exclude
# 4 Solid Bare Copper ,,Exclude
# 4 THHN BLACK,,Wire
# 4 THHN GREEN STRANDED CU,,Wire
# 4 awg Aluminum XHHW GREEN ,,Wire
# 4 awg Bare solid Copper ,,Wire
# 4 awg GREEN Aluminum Strande,,Wire
# 4 awg GREEN Aluminum xhhw,,Wire
# 4 awg GREEN XHHW Aluminum ,,Wire
# 4 awg GREEN xhhw Aluminum ,,Wire
# 4 awg Solid BARE COPPER ,,Wire
# 4 awg XHHW Aluminum GREEN ,,Wire
# 4 awg XHHW GREEN Aluminum ,,Wire
# 4 awg xhhw Aluminum  Black,,Wire
# 4 awg xhhw GREEN COPPER ,,Wire
# 4 bare copper,,Exclude
# 4 bare cu,,Exclude
# 4 bare solid cu,,Exclude
# 4 chair lugs,,Exclude
# 4 cu ground wire solid pole ,,Wire
# 4 green thhn cu,,Wire
# 4 lay in Lugs,,Exclude
# 4 thhn black,,Wire
# 4 thhn blue,,Wire
# 4 thhn cu black stranded,,Wire
# 4 xhhw,,Wire
# 4awg BARE Solid Copper,,Wire
# 4awg Bare solid Copper,,Wire
# 4awg Copper wire,,Wire
# 4awg GREEN Copper wire,,Wire
# 4awg GREEN aluminum xhhw,,Wire
# 4awg Solid Bare copper ,,Wire
# 4awg xhhw Aluminum GREEN  ,,Wire
# 6  AWG CU THWN Brown Provid,,Wire
# 6  AWG CU THWN Green Provid,,Wire
# 6  AWG CU THWN Orange Provi,,Wire
# 6  AWG CU THWN White Provid,,Wire
# 6  AWG CU THWN Yellow Provi,,Wire
# 6  BROWN COPPER THWN OR XHHW,,Wire
# 6  ORANGE COPPER THWN OR XHH,,Wire
# 6  YELLOW COPPER THWN OR XHH,,Wire
# 6 Alum Green Xhhw,,Wire
# 6 Awg GREEN Aluminum xhhw,,Wire
# 6 CU GREEN THWN,,Wire
# 6 Polaris Lugs,,Exclude
# 6 Solid Bare,,Exclude
# 6 THHN Cu Green,,Wire
# 6 XHHW-2 AL GREEN,,Wire
"# 6 alum wire (1@110, 1@130, 1",,Wire
# 6 awg GREEN XHHW Aluminum ,,Wire
# 6 awg GREEN xhhw Aluminum,,Wire
# 6 awg Green  Aluminum XHHW,,Wire
# 6 awg Stranded Black THHN,,Wire
# 6 awg Stranded Red  THHN,,Wire
# 6 awg XHHW GREEN Aluminum,,Wire
# 6 awg xhhw Aluminum   GREEN,,Wire
# 6 cu green,,Exclude
# 6 green aluminum wire reel,,Wire
# 6 insulated ground 90' cut,,Exclude
# 6 thhn blue cu stranded (bla,,Wire
# 6 thhn copper green 75',,Wire
# 6 thhn red cu stranded  (bla,,Wire
"# 6 x 1-1/4"" Drywall Screw, Ph",,Exclude
# 6awg GREEN Aluminum XHHW ,,Wire
# 8  AWG CU THWN Green Provide,,Wire
# 8 BROWN WIRE,,Wire
# 8 THHN Copper,,Wire
# 8 Thhn Orange,,Wire
# 8 awg  stranded  White THHN ,,Wire
# 8 awg Solid  Black   THHN,,Wire
# 8 awg Solid  Red  THHN,,Wire
# 8 awg Stranded Black THHN,,Wire
# 8 awg Stranded Copper THHN G,,Wire
# 8 awg Stranded Red  THHN,,Wire
# 8 bare cu,,Exclude
# 8 cu thhn black (1000' reels,,Wire
# 8 self tapping waffle head s,,Exclude
# 8 solid bare copper,,Exclude
# 8 thhn cu black,,Wire
# 8 thhn cu black stranded,,Wire
# 8 thhn cu blue stranded (bla,,Wire
# 8 thhn cu green stranded,,Wire
# 8 thhn cu red stranded (blac,,Wire
# 8 thhn green,,Wire
# 8 thhn green cu stranded,,Wire
"# 8 wafer head screws 1/2"" lon",,Exclude
"# 8 x 1/2"" HEX HEAD  Everbilt ",,Exclude
"# 8 x 3/4""  wafer Head Phillip",,Exclude
# 8. GREEN COPPER THWN OR XHHW,,Wire
# 8/3C CABLE CU MC - AL ARMOR,,Wire
# 8awg GREEN Copper wire,,Wire
#/8''  Toggle Bolts,,Exclude
#0 ANTI SHORT BUSH,,Exclude
#0 ANTI-SHORT BUSHINGS AC90 SI,,Exclude
#0 ANTISHORTS #14/2C #14/3C #1,,Wire
#0 AS BUSH,,Exclude
#0 HANGER BOLT,,Exclude
#0 HANGR W/ BOLT,,Exclude
#0 HNGR,,Exclude
#0 HNGR /BOLT,,Exclude
#0 HNGR BOLT,,Exclude
#0 HNGR W/BOLT,,Exclude
#1  Al xhhw,,Wire
#1  THHN copper,,Wire
#1 - 120',,Exclude
"#1 - THHN, CU, STR - GREEN",,Wire
#1 2hole polaris lugs,,Exclude
#1 3C MC,,Exclude
#1 ACC Steel Conduit and Pipe ,,Conduit
#1 AL,,Exclude
#1 AL Black,,Exclude
#1 AL MC 3 CONDUCTOR 1 GROUND,,Exclude
#1 AL MC cable  black red whit,,Wire
#1 AL Wire,,Wire
#1 AL Wire Black  XHHW,,Wire
#1 AL XHHW,,Wire
#1 AL xhhw,,Wire
"#1 ALUM XHHW BLK, RED, BLUE, W",,Wire
#1 ANTI SHORT BUSH,,Exclude
#1 AS BUSH,,Exclude
#1 AWG BLACK THHN CU WIRES,,Wire
#1 AWG BLUE THHN CU WIRES,,Wire
#1 AWG Copper,,Wire
#1 AWG Cu green,,Wire
#1 AWG Green Alu,,Wire
#1 AWG RED THHN CU WIRES,,Wire
#1 AWG SER Single phase,,Wire
#1 AWG THHN BLACK ALUMINUM WIR,,Wire
#1 AWG THHN CU,,Wire
#1 AWG THHN RED ALUMINUM WIRE,,Wire
#1 AWG THHN WHITE ALUMINUM WIR,,Wire
#1 AWG THWN WIRE,,Wire
#1 AWG WHITE THHN CU WIRES,,Wire
#1 AWG XHHW AL,,Wire
#1 AWG XHHW ALU Black,,Wire
#1 AWG XHHW ALUMINUM,,Wire
#1 AWG XHHW ALUMINUM GREEN,,Wire
#1 AWG XHHW Alu Green,,Wire
#1 AWG XHHW Aluminum,,Wire
#1 AWG XHHW-2 Stranded Aluminu,,Wire
#1 Al Cable,,Wire
#1 Al Wire,,Wire
#1 Al Xhhw Black,,Wire
#1 Alum,,Exclude
#1 Alum XHHW,,Wire
#1 Aluminum,,Exclude
#1 Aluminum - Black xhhw,,Wire
#1 Aluminum Black Wire,,Wire
#1 Aluminum Green,,Exclude
#1 Aluminum THHN Wire,,Wire
#1 Aluminum XHHW,,Wire
#1 Aluminum black wire reel,,Wire
#1 Awg GREEN Aluminum Xhhw,,Wire
#1 Awg Green Aluminum Xhhw,,Wire
#1 BLACK THHN COPPER,,Wire
#1 BLUE THHN COPPER,,Wire
#1 BROWN,,Exclude
#1 Black AL THHN Wire,,Wire
#1 Black THHN,,Wire
#1 Brown,,Exclude
#1 Brown THHN,,Wire
#1 CU 4 Wire Brown Jbox to Ma,,Exclude
#1 CU 4 Wire Orange Jbox to M,,Exclude
#1 CU 4 Wire Yellow Jbox to M,,Exclude
#1 CU THHN,,Wire
#1 CU THHN GREEN,,Wire
#1 CU THHN wire,,Wire
#1 Copper,,Exclude
#1 Copper THHN,,Wire
#1 Copper Wire ,,Wire
#1 GREEN GROUND FOR ABOVE,,Exclude
#1 GREEN THHN CU WIRE,,Wire
#1 Green,,Exclude
#1 Green AL Wire,,Wire
#1 HNGR BOLT,,Exclude
#1 HNGR W/BOLT,,Exclude
#1 HNGR/BOLT,,Exclude
#1 MC cable Black Red White Gr,,Wire
#1 MECHANEAL LUGS,,Exclude
#1 Mechanical Lugs,,Exclude
#1 ORANGE,,Exclude
#1 Orange,,Exclude
#1 Orange THHN,,Wire
#1 POLARIS TAPS (STRAIGHT THRO,,Exclude
#1 RED THHN COPPER,,Wire
#1 Red copper wire THHN,,Wire
#1 THHN BROWN,,Wire
#1 THHN BROWN CUPPER,,Wire
#1 THHN CU,,Wire
#1 THHN CU 3 Wire Brown P2 to,,Wire
#1 THHN CU 3 Wire Orange P2 t,,Wire
#1 THHN CU 3 Wire Yellow P2 t,,Wire
#1 THHN CU STRANDED WIRE GREEN,,Wire
#1 THHN CU WIRE BROWN,,Wire
#1 THHN CU WIRE ORANGE,,Wire
#1 THHN CU WIRE YELLOW,,Wire
#1 THHN Copper,,Wire
#1 THHN Copper Wire,,Wire
#1 THHN ORANGE,,Wire
#1 THHN ORANGE  CUPPER,,Wire
#1 THHN YELLOW,,Wire
#1 THHN YELOW CUPPER,,Wire
#1 THHN copper black,,Wire
#1 THHN green CU wire,,Wire
#1 THHN/T90 CU (GREEN),,Wire
#1 THHN/THWN-2 STRANDED,,Wire
#1 THWN AL BLACK WIRE,,Wire
#1 THWN CU,,Wire
#1 WIRE BLACK AL,,Wire
#1 WIRE RED AL,,Wire
#1 WIRE WHITE AL,,Wire
#1 White,,Exclude
#1 White copper wire THHN,,Wire
#1 Wire XHHW-2 / RW90 - Alumi,,Wire
#1 XHHW AL,,Wire
#1 XHHW AL Black,,Wire
