Description,ActualLabel
#1 Black THHN,Wire
#6 Green THHN,Wire
Commercial Electric 14 AWG to ,Wire
12/2 NM-B Solid Copper Yellow,Wire
#2 AL Wire,Wire
#4 AL Wire,Wire
Feet solid #12 Black,Wire
Feet solid #12 Red,Wire
Feet solid #12 Blue,Wire
Feet solid #12 White,Wire
Feet solid #12 Green,Wire
"12 AWG THHN SOLID COPPER, BLAC",Wire
"12 AWG THHN SOLID COPPER, RED,",Wire
"12 AWG THHN SOLID COPPER, BLUE",Wire
"12 AWG THHN SOLID COPPER, WHIT",Wire
"12 AWG THHN SOLID COPPER, GREE",Wire
"12 AWG THHN SOLID COPPER, BROW",Wire
"12 AWG THHN SOLID COPPER, ORAN",Wire
"12 AWG THHN/THWN SOLID COPPER,",Wire
"10 AWG THHN SOLID COPPER, BLAC",Wire
"10 AWG THHN SOLID COPPER, RED,",Wire
"10 AWG THHN SOLID COPPER, BLUE",Wire
"10 AWG THHN SOLID COPPER, WHIT",Wire
"10 AWG THHN SOLID COPPER, GREE",Wire
"10 AWG THHN SOLID COPPER, BROW",Wire
"10 AWG THHN SOLID COPPER, ORAN",Wire
#12 Solid THHN Brown,Wire
#12 Solid THHN Grey,Wire
"12 AWG THHN Solid Copper, Blue",Wire
600 MCM Copper Wire ,Wire
1/0 Copper Wire ,Wire
1/0 Copper Wire  - GREEN,Wire
250 MCM Copper Wire ,Wire
#3 Copper Wire - GREEN,Wire
2/0 Copper Wire ,Wire
#6 Copper Wire ,Wire
#6 Copper Wire - GREEN,Wire
#4 Copper Wire - GREEN,Wire
#8 Copper Wire - GREEN,Wire
#1 Copper Wire ,Wire
4/0 Copper Wire ,Wire
#2 THHN Green Copper,Wire
#6 THHN Green Copper,Wire
#6 THHN brown Copper,Wire
#6 THHN Orange Copper,Wire
#6 THHN Yellow Copper,Wire
#4 THHN Yellow Copper,Wire
#4 THHN Orange Copper,Wire
#4 THHN Brown Copper,Wire
"12 AWG THHN Solid Copper, Gre",Wire
"12 AWG THHN Solid Copper, Whit",Wire
"12 AWG THHN Solid Copper, Blac",Wire
"12 AWG THHN Solid Copper, Red,",Wire
"12 AWG THHN Solid Copper, Gree",Wire
"12 AWG THHN Solid Copper, Brow",Wire
#6 Stranded Bare Copper,Wire
#1 AWG Copper,Wire
Ilsco CT-4/0 4/0 AWG Copper Co,Wire
8’ Ceiling Grid Wire,Wire
#12 Thhn Solid green,Wire
4/0 Green THHN Copper,Wire
Cat 6e Cable Nonplenium Rated,Wire
Orange #12 Solid,Wire
Yellow #12 Solid,Wire
#4 thhn,Wire
12 AWG THHN/THWN-2 Solid Coppe,Wire
12 AWG XHHW Solid Copper Blue ,Wire
#10 X 3-1/2 SCR,Wire
romex con,Wire
"[THHN Wire] Blue, 12 AWG, Copp",Wire
"[THHN Wire] White, 12 AWG, Cop",Wire
"[THHN Wire] Red, 12 AWG, Coppe",Wire
"[THHN Wire] Brown, 12 AWG, Cop",Wire
"[THHN Wire] Gray, 12 AWG, Copp",Wire
"[THHN Wire] White, 10 AWG, Cop",Wire
"[THHN Wire] Gray, 8 AWG, Coppe",Wire
"[THHN Wire] Black, 8 AWG, Copp",Wire
"18/2 Unshielded, Gray",Wire
"[Bare Copper Wire] 4/0 AWG, St",Wire
"[NM-B Wire] 12/2, Yellow, 250'",Wire
"[SER Cable] Aluminum, 1-1-1-3",Wire
"[MC] 12/2 w/ GND, Black/Green,",Wire
"[MC] 12/2 w/ GND, Red/Green, S",Wire
"[MC] 12/2 w/ GND, Blue/Green, ",Wire
"[MC] 12/2 w/ GND, Brown/Green,",Wire
"[MC] 12/2 w/ GND, Orange/Green",Wire
"[MC] 12/2 w/ GND, Yellow/Green",Wire
NM-B - 12/2 SOLID COPPER YELLO,Wire
"[THHN Wire] Green, 12 AWG, Cop",Wire
"[THHN Wire] Black, 12 AWG, Cop",Wire
"[THHN Wire] Yellow, 12 AWG, Co",Wire
"[MC] 12/2 w/ GND, Black/White/",Wire
"[MC] 12/2 w/ GND, Red/White/Gr",Wire
"[MC] 12/2 w/ GND, Gray/Yellow/",Wire
"[THHN Wire] Purple, 12 AWG, Co",Wire
"[THHN Wire] Pink, 12 AWG, Copp",Wire
"[THHN Wire] Orange, 12 AWG, Co",Wire
"[THHN Wire] Brown, 10 AWG, Cop",Wire
"[THHN Wire] Orange, 10 AWG, Co",Wire
"[THHN Wire] Gray, 10 AWG, Copp",Wire
"[THHN Wire] Green, 10 AWG, Cop",Wire
"[THHN Wire] Black, 10 AWG, Cop",Wire
"[THHN Wire] Purple, 12 AWG, C",Wire
"[THHN Wire] Red, 10 AWG, Copp",Wire
"[THHN Wire] Blue, 10 AWG, Copp",Wire
"#6,6,6,6 #10g Mc Cable",Wire
"3/0,3/0,3/0 ,3/0 #4gmc Cable",Wire
"[THHN Wire] Black, 12 AWG, Co",Wire
"[THHN Wire] Red, 10 AWG, Coppe",Wire
10 AWG THHN/THWN Stranded Copp,Wire
12 AWG THHN/THWN Stranded Copp,Wire
"[Bare Copper Wire] 4 AWG, Soli",Wire
"[THHN Wire] Yellow, 10 AWG, Co",Wire
"[THHN Wire] Gray, 6 AWG, Coppe",Wire
"[THHN Wire] Black, 6 AWG, Copp",Wire
"1/0 AWG, THHN",Wire
4/0 black,Wire
W building wire has a 1 AWG a,Wire
"[THHN Wire] Green, 6 AWG, Alum",Wire
"[THHN Wire] Black, 400 MCM, Al",Wire
"[THHN Wire] Black, 1 AWG, Alu",Wire
"[Bare Copper Wire] 2 AWG, Str",Wire
"[XHHW Wire] Black, 4/0 AWG, Al",Wire
"[XHHW Wire] Black, 1 AWG, Alum",Wire
"[THHN Wire] Green, 8 AWG, Copp",Wire
12/2 R/W MC SOL,Wire
"[XHHW Wire] Green, 1 AWG, Alum",Wire
"[THHN Wire] Black, 4 AWG, Copp",Wire
"[SER Cable] Aluminum, 2/0-2/0",Wire
"[Luminare MC] 12/2 16/2, Orang",Wire
"[SER Cable] Aluminum, 4-4-4-6",Wire
"16 AWG TFFN, Gray, 500'",Wire
"16 AWG TFFN, Pink, 500'",Wire
"[TFFN Wire] Pink, 16 AWG, Stra",Wire
"[TFFN Wire] Gray, 16 AWG, Stra",Wire
"[THHN Wire] Brown, 1/0 AWG, Co",Wire
"[THHN Wire] Orange, 1/0 AWG, C",Wire
"[THHN Wire] Yellow, 1/0 AWG, C",Wire
"[THHN Wire] Gray, 1/0 AWG, Cop",Wire
"[THHN Wire] Green, 6 AWG, Copp",Wire
"[THHN Wire] Yellow, 3 AWG, Cop",Wire
"[THHN Wire] Orange, 3 AWG, Cop",Wire
"[THHN Wire] Brown, 3 AWG, Copp",Wire
"[THHN Wire] Yellow, 12 AWG, C",Wire
"[TFFN Wire] Pink, 16 AWG, Str",Wire
"[THHN Wire] White, 12 AWG, Co",Wire
"[TFFN Wire] Gray, 16 AWG, Str",Wire
500 MCM XHHW-2 Stranded Alumi,Wire
"[Bare Copper Wire] 3/0 AWG, St",Wire
"600 XHHW Stranded Aluminum, G",Wire
"[THHN Wire] Black, 350 MCM, Al",Wire
"[THHN Wire] Red, 350 MCM, Alum",Wire
"[THHN Wire] Blue, 350 MCM, Alu",Wire
"[THHN Wire] White, 350 MCM, Al",Wire
"[THHN Wire] Brown, 350 MCM, Al",Wire
"[THHN Wire] Gray, 350 MCM, Alu",Wire
"[THHN Wire] Orange, 350 MCM, A",Wire
"[THHN Wire] Yellow, 350 MCM, A",Wire
"[THHN Wire] White, 3/0 AWG, Al",Wire
"[THHN Wire] Black, 3/0 AWG, Al",Wire
"[THHN Wire] Red, 3/0 AWG, Alum",Wire
"[THHN Wire] Blue, 3/0 AWG, Alu",Wire
"[THHN Wire] Brown, 250 MCM, Al",Wire
"[THHN Wire] Gray, 250 MCM, Alu",Wire
"[THHN Wire] Orange, 250 MCM, A",Wire
"[THHN Wire] Yellow, 250 MCM, A",Wire
"[THHN Wire] Orange, 2/0 AWG, A",Wire
"[THHN Wire] Brown, 2/0 AWG, Al",Wire
"[THHN Wire] Gray, 2/0 AWG, Alu",Wire
"[THHN Wire] Yellow, 2/0 AWG, A",Wire
"[THHN Wire] White, 1 AWG, Alum",Wire
"600 XHHW Stranded Aluminum, Gr",Wire
500 MCM XHHW-2 Stranded Alumin,Wire
350 MCM XHHW Stranded Aluminum,Wire
2 AWG XHHW-2 Stranded Aluminum,Wire
XHHW 400 GRN,Wire
400 MCM XHHW Stranded Aluminu,Wire
"[THHN Wire] Black, 1 AWG, Alum",Wire
"[THHN Wire] Red, 1 AWG, Alumin",Wire
"[THHN Wire] Blue, 1 AWG, Alumi",Wire
"[THHN Wire] White, 1/0 AWG, Al",Wire
"[THHN Wire] Black, 1/0 AWG, Al",Wire
"[THHN Wire] Red, 1/0 AWG, Alum",Wire
"[THHN Wire] Blue, 1/0 AWG, Alu",Wire
"[THHN Wire] Green, 4 AWG, Alum",Wire
"[THHN Wire] Green, 2 AWG, Alum",Wire
"[THHN Wire] Green, 1 AWG, Alum",Wire
"MC #12, brown 2+GND with dimm",Wire
"MC #12, orange 2+GND with dim",Wire
"MC #12, yellow 2+GND with dimm",Wire
COP THHN8STRBRN1000RL THHN-8-B,Wire
COP THHN8STRORN1000RL THHN-8-O,Wire
COP THHN8STRYEL1000RL THHN-8-Y,Wire
COP THHN8STRGRY1000RL THHN-8-G,Wire
COP THHN10STRGRN500RL THHN-10-,Wire
COP THHN10STRBLK500RL THHN-10-,Wire
COP THHN10STRRED500RL THHN-10-,Wire
COP THHN10STRBLU500RL THHN-10-,Wire
COP THHN10STRWHT500RL THHN-10-,Wire
MC ALUM 12/2 SOL COIL,Wire
THHN/THWN-2 19 STR 600V 90DEG ,Wire
THHN/THWN-2 SOL 600V 90DEG CU,Wire
4/0 XHHW AL,Wire
4/0 THHN CU,Wire
#1 AWG THHN CU,Wire
350KCMIL XHHW AL,Wire
3/0 XHHW AL,Wire
2/0 XHHW AL,Wire
250kcmil XHHW AL,Wire
300kcmil XHHW AL,Wire
500kcmil XHHW AL,Wire
#4 AWG XHHW AL,Wire
#1 AWG XHHW AL,Wire
#2 AWG XHHW AL,Wire
1/0 XHHW AL,Wire
400kcmil XHHW AL,Wire
#2 AWG THHN CU,Wire
#6 AWG THHN CU,Wire
XHHW 250 MC,Wire
XHHW 4 STR GRN,Wire
XHHW 1 STR,Wire
XHHW 6 STR GRN,Wire
14-2 NM-B Romex (1000 FOOT SPO,Wire
14-3 NM-B Romex (1000 FOOT SPO,Wire
12-2 NM-B Romex (1000 FOOT SPO,Wire
10-2 NM-B Romex (1000 FOOT SPO,Wire
10-3 NM-B Romex (1000 FOOT SPO,Wire
8-2 NM-B Romex (1000 FOOT SPOO,Wire
6-3 NM-B Romex (1000 FOOT SPOO,Wire
so cord 14/2,Wire
"12/2 w/Ground, MC, Aluminum Ar",Wire
Sol Wire Grnd Tail -Loop/Grd S,Wire
4 Solid Copper Wire Soft Drawn,Wire
"8 AWG THHN Stranded Copper, Bl",Wire
"10 AWG THHN Solid Copper, Blac",Wire
"10 AWG THHN Solid Copper, Gree",Wire
"10 AWG THHN Solid Copper, Whit",Wire
"10 AWG THHN Solid Copper, Red,",Wire
SER 3x #4/0 + GND - AL (1000',Wire
#12/3C CORD ­ SOW - 600V,Wire
4/0 Ground Wire,Wire
#4 Ground Wire,Wire
#6 AWG 4 Wire SO Cord,Wire
4/0 AWG ALUMINUM THHN BROWN,Wire
4/0 AWG ALUMINUM THHN ORANGE,Wire
4/0 AWG ALUMINUM THHN YELLOW,Wire
#2 AWG ALUMINUM THHN GREEN,Wire
"12 AWG THHN Stranded Copper, W",Wire
12 AWG THHN/THWN Stranded Cop,Wire
THHN 12 STR GRN,Wire
"[THHN Wire] Blue, 10 AWG, Cop",Wire
"[THHN Wire] Black, 10 AWG, Co",Wire
600 XHHW AL,Wire
500 XHHW AL,Wire
400 XHHW AL,Wire
350 XHHW AL,Wire
300 XHHW AL,Wire
250 XHHW AL,Wire
#2 XHHW AL,Wire
#4 XHHW AL,Wire
750 XHHW AL,Wire
NM-B - 12/2 Solid Copper Yello,Wire
HellermannTyton T50R9M4 Cable,Wire
12/2 Romex,Wire
NM-B - 6/3 Stranded Copper 500,Wire
NM-B - 8/2 Stranded Copper 500,Wire
NM-B - 4/3 Stranded Copper 50,Wire
"6 Bare Stranded Copper Wire, 2",Wire
Al Cmp 4/0 T Ul Csa,Wire
400 AWG XHHW-2 Stranded Alumin,Wire
3/0 AWG XHHW-2 Stranded Alumin,Wire
"Service Entrance Cable, SE-R, ",Wire
12/2 UF cable,Wire
4/0  2 port polaris,Wire
12/2 romex,Wire
"[THHN Wire] Black, 3 AWG, Copp",Wire
SER 3x #4/0 + GND - AL (1000' ,Wire
SER 3x #4/0 + GND - AL (500' R,Wire
HellermannTyton T50R9M4 Cable ,Wire
THHN 12 SOL BLK,Wire
THHN 12 SOL BLU,Wire
THHN 12 SOL RED,Wire
THHN 12 SOL WHT,Wire
Thomas & Betts TY244MX Cable T,Wire
HellermannTyton T50I0C2 Cable,Wire
XHHW 4/0 STR,Wire
12-2 UF CABLE,Wire
12-2 ROMEX,Wire
12-3 ROMEX,Wire
12-2 UFCABLE,Wire
16-2 Solid TFN F/A MC Cable (B,Wire
14-2 (1 TSP) F/A MC Cable (Bla,Wire
16-2 Solid TFN F/A MC Cable (,Wire
10-2 MC CABLE,Wire
10-3 MC CABLE,Wire
12-2 MC CABLE,Wire
12-2 MC CABLE (BUYOUT),Wire
12-3 MC CABLE (BUYOUT),Wire
8-3 MC CABLE,Wire
12-3 MC Cable,Wire
8-3 MC Cable,Wire
12-3 MC CABLE,Wire
14/-12/2 AS BSHG,Wire
8-2 MC Cable,Wire
12-2 MC Cable,Wire
10-2 MC Cable,Wire
Single MC Cable,Wire
6-2 MC Cable,Wire
12/2 MC Cable,Wire
12/3 MC Cable,Wire
10/2 MC Cable,Wire
10/3 MC Cable,Wire
8/2 MC Cable,Wire
Anti Shorts for 12/2-12/3 MC C,Wire
12/2 MC Cable Black/White/Gree,Wire
14/4 MC Cable black red blue ,Wire
12/3 Romex,Wire
HellermannTyton T50I0C2 Cable ,Wire
Ideal 31-385 ClearGlide Wire P,Wire
12/2 mc 1000' spools,Wire
TY527M-PDT TB TY527M-PDT CABLE,Wire
"NSI Tork PT4/0 Nsi Pt4/0 ""bi M",Wire
4x4x24” wire way N1,Wire
4x4 Wire Way Ends,Wire
Heat Shrink For 750 Mcm Cable,Wire
1 thru 45 wire numbers,Wire
12/2 mc,Wire
3/0-6 AWG Polaris Insulated Ta,Wire
#12 Gauge Jack Chain,Wire
"Butt splice, 1/0 AWG, Tin-Plat",Wire
1 AWG to 3/0 AWG Heavy Wall He,Wire
"250 MCM, 6 AWG Polaris Insul-T",Wire
10 AWG THHN/THWN-2 Stranded Co,Wire
12/2 MC,Wire
50 ft. 14/2 Black Stranded CU ,Wire
Klein-Kurve Wire Stripper / Cr,Wire
16-14 AWG Blue Butt Splice Wir,Wire
XHHW 250 MCM,Wire
XHHW 350 MCM,Wire
XHHW 4 STR,Wire
#1 XHHW ALUMINUM,Wire
4/0 ALUMINUM XXHW (4 X 230') (,Wire
xhhw 2 green str,Wire
#12 Awg THHN Copper Solid gree,Wire
#12 THHN Black,Wire
#12 THHN Red,Wire
#12 THHN Blue,Wire
#12 THHN White,Wire
#12 THHN Green,Wire
12-2 Romex,Wire
WIRE CUT CHARGE,Wire
MC (alum) 4/0 3C alu. Black/Re,Wire
MC (alum) 8/2 cu. Black/White,Wire
14-2 Solid THHN F/A MC Cable (,Wire
3/0 THHN COPPER,Wire
6-2 MC CABLE (COPPER),Wire
12-2 UF Cable,Wire
#16 THHN BLACK,Wire
#14 THHN Black,Wire
#16 THHN  RED,Wire
#14 THHN Blue,Wire
#14 THHN White,Wire
#14 THHN Red,Wire
"#10 THHN BLACK,",Wire
"#12 THHN Red,",Wire
#12 THHN  Green,Wire
"#12 THHN Blue,",Wire
"#12 THHN White,",Wire
#10 THHN RED,Wire
14-2 FIRE ALARM MC CABLE,Wire
#10 THHN BLACK,Wire
16-2 FIRE ALARM MC CABLE,Wire
CAT#6 CABLE (WHITE),Wire
BLACK COAX CABLE RG6U,Wire
8-2 MC CABLE,Wire
Black RG6 Coaxial Cable,Wire
"[THHN Wire] Black, 600 MCM, Al",Wire
14-2 mc cable fire alarm,Wire
4/0 AWG XHHW Alu,Wire
#1 AWG XHHW Alu Green,Wire
14 awg thhn copper stranded bl,Wire
14 awg thhn copper stranded re,Wire
14 awg thhn copper stranded wh,Wire
"[MC] 4/0-3C w/ GND, Black/Gree",Wire
SOOW Cord #6AWG 4C,Wire
Black RG-6/U Cable,Wire
600 kcmil THHN Aluminum Black,Wire
400 kcmil THHN Aluminum Black,Wire
"[NM-B Wire] 12/3, Yellow, 250'",Wire
12/2 Uf Cable (UF-b 12/2),Wire
"[Bare Copper Wire] 8 AWG, Soli",Wire
MC Alum 12/2 Black Cu.,Wire
12AWG THHN Cu. Stranded Green,Wire
8AWG Bare Copper Solid,Wire
MC Alum 4/0-3C Black/Red Alum.,Wire
#600kcmil Alu. XHHW ,Wire
250 MCM XHHW Aluminum,Wire
#1 AWG XHHW Aluminum,Wire
#2/0 AWG XHHW Aluminum,Wire
14 AWG THHN/THWN Stranded Cop,Wire
14 AWG THHN/THWN Stranded Copp,Wire
Arlington 38AST MC/AC Cable Co,Wire
12/2 MC Cable - Alum or Steel ,Wire
12/3 MC Cable - Alum or Steel ,Wire
2/0 AWG XHHW ALU Black,Wire
#1 AWG XHHW ALU Black,Wire
8/2 MC Cable - Alum or Steel A,Wire
8/3 MC Cable - Alum or Steel A,Wire
750 kcmil XHHW Aluminum,Wire
750 kcmil THHN/THWN Copper,Wire
"anti shorts 1/2"" (for 8/2 mc",Wire
#8 AWG Solid Bare Copper Wire,Wire
10/2 MC Cable - Alum or Steel ,Wire
750 MCM XHHW Aluminum,Wire
500 MCM XHHW Aluminum,Wire
1/0 AWG XHHW Aluminum,Wire
350 MCM XHHW Aluminum,Wire
1 AWG XHHW Aluminum,Wire
750 MC XHHW Aluminum,Wire
16/2 MC Cable FPLP,Wire
14/2 MC Cable FPLP,Wire
250 MCM THHN/THWN Copper,Wire
1/0 AWG THHN/THWN Copper,Wire
3C+G #2 AWG SER Cable,Wire
6/2 MC Cable - Alum or Steel A,Wire
10/3 MC Cable - Alum or Steel ,Wire
600 MCM XHHW Aluminum Black,Wire
400 kcmil XHHW Aluminum Black,Wire
300 kcmil XHHW Aluminum Black,Wire
#2 AWG XHHW Aluminum Black,Wire
XHHW350 21007-271,Wire
XHHW1GRN 21007-271,Wire
10 AWG THHN Stranded Copper wh,Wire
THHN/THWN-2 37 STR 600V 90DEG,Wire
"8 AWG THHN Stranded Copper, Wh",Wire
"8 AWG THHN Stranded Copper, Re",Wire
"8 AWG THHN Stranded Copper, Gr",Wire
XHHW 2 9331678490,Wire
250 MCM THHN Str Black 500',Wire
"250 MCM THHN/THWN-2 Str Red, 2",Wire
"250 MCM THHN/THWN-2 Str Blue, ",Wire
"1/0 AWG THHN/THWN-2 Str Green,",Wire
12/2 MC Cable - Alum or Steel,Wire
12 AWG 19 Stranded Black 500 f,Wire
12 RED THHN/THWN-2 Stranded Co,Wire
12 WHT THHN/THWN-2 Stranded Co,Wire
12 BLU THHN/THWN-2 Stranded Co,Wire
12 GRN THHN/THWN-2 Stranded Co,Wire
10 WIRE SOLID THHN,Wire
#250 kcmil XHHW Aluminum,Wire
#400 kcmil XHHW Aluminum,Wire
#750 kcmil XHHW Aluminum,Wire
750 XHHW,Wire
#600 kcmil XHHW Aluminum,Wire
#500 kcmil XHHW Aluminum,Wire
750 XHHW ALUM WIRE,Wire
#1/0 AWG THHN/THWN Copper,Wire
#6 AWG THHN/THWN Copper,Wire
#2 AWG XHHW Aluminum,Wire
14/2 MC F/A Cable / Red Steel ,Wire
CAT6 White,Wire
CAT6 Blue,Wire
1000 ft roll 4 AWG THHN/THWN-2,Wire
1000 ft roll 8 thhn copper str,Wire
"10 AWG THHN Stranded Copper, r",Wire
10 thhn stranded copper black,Wire
"10 awg thhn stranded copper, b",Wire
12 awg thhn stranded copper bl,Wire
12 awg thhn stranded copper wh,Wire
12 AWG THHN/THWN-2 Stranded Co,Wire
"12 AWG thhn stranded, Green, 5",Wire
"10 awg thhn stranded copper, w",Wire
12 awg thhn black,Wire
12 awg thhn green,Wire
12  awg blue,Wire
12 awg thhn red,Wire
"18/2 STRANDED, SHIELDED CMR JA",Wire
4 Pair 23 AWG CMR CAT6 - Blue,Wire
4 Pair 23 AWG CMR CAT6 - White,Wire
4 Pair 23 AWG CMP CAT6 - Green,Wire
cat6 white,Wire
cat6 blue,Wire
RG6 Quad Indoor Cable 3000',Wire
Cat6 Blue CMR Cable 2000',Wire
Cat6 White CMR Cable 3000',Wire
MC 14/2 Aluminum Solid 250',Wire
22/2 solid shielded wire any c,Wire
10 thwn stranded blue,Wire
10 thwn stranded red,Wire
10 thwn thwn stranded Black,Wire
10 thwn thwn stranded White,Wire
XHHW 2 600 MC,Wire
XHHW 2 400 MC,Wire
THHN-8-STR-GRN-1000R,Wire
250 MC Cable 4C Black/Red/Blue,Wire
"MC, Aluminum Armor, 12/2 w/Gro",Wire
18/2C Shielded,Wire
WIRE COST KEYING ERROR ADJ,Wire
12/2 MC 250' Rolls,Wire
14/2 FPLP RED,Wire
14/2 FPLP BLACK,Wire
8 AWG THHN/THWN-2 Stranded Cop,Wire
10/2 MC CABLE,Wire
10-2 mc cable,Wire
XHHW 1/0,Wire
XHHW 4,Wire
WIRE,Wire
#12 THHN Black Solid,Wire
#12 THHN White Solid,Wire
#12 THHN Green Solid,Wire
#6 copper THHN Black,Wire
#6 copper THHN Red,Wire
#6 copper THHN Blue,Wire
#10 copper Green THHN stranded,Wire
#4 AWG Aluminum,Wire
3M WLC-5 Communication Wire Pu,Wire
Wire way NEMA 1 24W  x12tall x,Wire
"[Bare Copper Wire] 6 AWG, Soli",Wire
Wire way NEMA 1 36W x12tall x1,Wire
"[THWN/2 Wire] Black, 12 AWG, C",Wire
"[THWN/2 Wire] White, 12 AWG, C",Wire
"[THWN/2 Wire] Green, 12 AWG, C",Wire
"[THWN/2 Wire] Red, 10 AWG, Cop",Wire
"[THWN/2 Wire] Black, 10 AWG, C",Wire
"[THWN/2 Wire] Green, 10 AWG, C",Wire
#6 THHN CU SOLID BARE,Wire
1/0 AWG XHHW-2 Stranded Alumin,Wire
300 XHHW-2 Stranded Aluminum B,Wire
Ilsco ACO-4/0 Al Cmp 4/0 T Ul ,Wire
500 MCM XHHW Stranded Aluminum,Wire
4/0 AWG XHHW-2 Stranded Alumin,Wire
6 AWG XHHW-2 Stranded Aluminum,Wire
#6 THHN CU Solid Bare,Wire
"[THHN Wire] Black, 2/0 AWG, Al",Wire
"[THHN Wire] Red, 2/0 AWG, Alum",Wire
"[THHN Wire] White, 2/0 AWG, Al",Wire
12-2 NM-B Romex (1000 FOOT SP,Wire
#3 THHN BLACK (1 X 1325' REEL),Wire
#3 THHN RED (1 X 1325' REEL),Wire
#3 THHN BLUE (1 X 1325' REEL),Wire
#3 THHN WHITE (1 X 1325' REEL),Wire
#10 THHN SOLID BLACK (500' SPO,Wire
#10 THHN SOLID RED (500' SPOOL,Wire
#10 THHN SOLID BLUE (500' SPOO,Wire
#10 THHN SOLID WHITE (500' SPO,Wire
#10 THHN SOLID GREEN (500' SPO,Wire
#8 THHN BLACK (1000' & 500' ),Wire
#8 THHN RED (1000' & 500' ),Wire
#8 THHN BLUE (1000' & 500' ),Wire
#10 GREEN THHN - 2500' SPOOLS,Wire
#10 WHITE THHN  - 2500' SPOOLS,Wire
#10 RED THHN  - 2500' SPOOLS,Wire
#10 BLACK THHN  - 2500' SPOOLS,Wire
#6 BLACK THHN  - 1000' SPOOLS,Wire
12/2 UF (1000' SPOOLS),Wire
NM-B - 8/3 Stranded Copper 500,Wire
8-3 ROMEX,Wire
14-2 ROMEX,Wire
#2 THHN CU,Wire
2/0 THHN CU,Wire
#4 THHN CU,Wire
600 MCM XHHW AL,Wire
350 MCM XHHW AL,Wire
400 MCM XHHW AL,Wire
500 MCM XHHW AL,Wire
#6 THHN CU,Wire
300 MCM XHHW AL,Wire
#1 XHHW AL,Wire
250 MCM XHHW AL,Wire
14/2 ROMEX,Wire
12/2 ROMEX,Wire
12-2 uf romex,Wire
"[THWN/2 Wire] Green, 1/0 AWG, ",Wire
#14 THHW SOLID BLACK JACKET,Wire
#14 THHW SOLID RED JACKET,Wire
#14 THHW SOLID BLUE JACKET,Wire
#14 THHW SOLID BROWN JACKET,Wire
#14 THHW SOLID GREEN JACKET,Wire
#14 THW SOLID YELLOW JACKET,Wire
"[NM-B Wire] 8/3, Black, 1000'",Wire
#12 THWN Black Stranded,Wire
#12 THWN White Stranded,Wire
#12 THWN Green Stranded,Wire
FA 18/2C SOL BC OAS FPLP RD 1,Wire
#12 Red THWN (Solid) 2500' spo,Wire
#12 Yellow THWN (Solid) 2500' ,Wire
#12 Brown THWN (Solid) 2500' s,Wire
#12 Green THWN (Solid) 2500' s,Wire
#12 Blue THWN (Solid) 2500' sp,Wire
#12 Black THWN (Solid) 2500' s,Wire
